序号,暗标编号,投标人名称,栾倩玉,王永和,宋庚超,张全清,焦旭,韩俐,王芝,总分,均分,项目
1,65,伊金霍洛旗惠众圣泰建设发展有限责任公司,35.80,35.20,32.90,35.30,35.60,35.40,32.90,"243.1
0",34.73,项目2
2,7,林孚建设有限公司,35.20,35.30,33.30,35.60,33.20,33.50,33.00,"239.1
0",34.16,项目2
3,62,内蒙古圆心工程设计有限公司,35.10,35.10,33.50,35.40,31.60,31.00,32.50,"234.2
0",33.46,项目2
4,39,义峰建设投资集团有限公司,32.20,35.10,33.40,35.40,33.50,32.00,32.90,"234.5
0",33.50,项目2
5,20,中州梦建设集团有限公司,35.30,35.00,33.20,36.00,31.50,31.10,32.90,"235.0
0",33.57,项目2
6,5,鄂尔多斯市通惠市政工程有限公司,33.30,35.50,32.60,35.50,31.20,30.70,32.40,"231.2
0",33.03,项目2
7,42,西安航空航天建工集团有限公司,35.90,35.40,33.50,35.90,31.40,30.50,33.40,"236.0
0",33.71,项目2
8,8,浩宸建设科技股份有限公司,32.30,34.90,33.40,35.50,31.60,30.80,33.40,"231.9
0",33.13,项目2
9,38,中盈恒业建工发展有限公司,31.80,34.00,33.20,35.40,31.30,30.50,33.80,"230.0
0",32.86,项目2
10,70,中水京林建设有限公司,31.80,34.00,32.90,35.30,31.50,31.10,32.90,"229.5
0",32.79,项目2
11,18,内蒙古龙佳建设工程有限公司(牵头人)、内蒙古中睿建设有限责任公司,35.40,35.60,33.30,35.90,31.60,30.60,32.80,"235.2
0",33.60,项目2
12,49,鄂尔多斯市有益市政工程有限责任公司,32.30,32.80,33.00,35.10,32.20,31.90,32.60,"229.9
0",32.84,项目2
